time,cid,model_name,file_name,propagation_delay (s),processing_delay (ms),e2e_delay (s),location,core
1719745379.6669788,0,yolov5n,6.jpg,0.41534996032714844,634.610652923584,1.0745556354522705,europe-west1,500
1719745380.4307675,1,yolov5s,6.jpg,0.18696904182434082,550.5337715148926,0.7629184722900391,europe-west1,1000
1719745381.3829358,2,yolov5s,6.jpg,0.3130779266357422,487.9608154296875,0.951401948928833,europe-west1,1000
1719745382.2780976,3,yolov5m,6.jpg,0.31613922119140625,554.638147354126,0.8943729400634766,europe-west1,2000
1719745383.5233624,0,yolov5n,6.jpg,0.3045337200164795,913.8889312744141,1.2444751262664795,europe-west1,500
1719745384.4364307,1,yolov5s,6.jpg,0.19785666465759277,572.392463684082,0.9115090370178223,europe-west1,1000
1719745385.358466,2,yolov5s,6.jpg,0.2279338836669922,671.0739135742188,0.9212930202484131,europe-west1,1000
1719745386.361173,3,yolov5m,6.jpg,0.31454038619995117,665.6217575073242,1.0015404224395752,europe-west1,2000
1719745387.1427894,0,yolov5n,6.jpg,0.2878148555755615,340.3463363647461,0.7805318832397461,europe-west1,500
1719745387.796259,1,yolov5s,6.jpg,0.259077787399292,371.1240291595459,0.6518430709838867,europe-west1,1000
1719745388.4130251,2,yolov5s,6.jpg,0.19580960273742676,395.740270614624,0.6159801483154297,europe-west1,1000
1719745417.2041392,3,yolov5m,6.jpg,0.14150476455688477,472.78475761413574,0.7609837055206299,europe-west1,2000
1719745418.317396,0,yolov5n,6.jpg,0.36776185035705566,718.6424732208252,1.1124966144561768,europe-west1,500
1719745419.1540911,1,yolov5s,6.jpg,0.2688007354736328,547.4529266357422,0.8358554840087891,europe-west1,1000
1719745419.8676105,2,yolov5s,6.jpg,0.13224053382873535,552.8631210327148,0.7127983570098877,europe-west1,1000
1719745420.742503,3,yolov5m,6.jpg,0.12060308456420898,615.7171726226807,0.8740887641906738,europe-west1,2000
1719745421.398801,0,yolov5n,6.jpg,0.2910642623901367,340.32368659973145,0.6550264358520508,europe-west1,500
1719745449.9704175,1,yolov5s,6.jpg,0.15309381484985352,370.0850009918213,0.5432376861572266,europe-west1,1000
1719745450.7815452,2,yolov5s,6.jpg,0.25476574897766113,416.6903495788574,0.8102054595947266,europe-west1,1000
1719745451.5911572,3,yolov5m,6.jpg,0.24321556091308594,542.5193309783936,0.8088457584381104,europe-west1,2000
1719745617.7212226,0,yolov5m,6.jpg,0.22696232795715332,559.5121383666992,0.9312412738800049,europe-west1,2000
1719745619.0315492,1,yolov5m,6.jpg,0.17732954025268555,1116.549015045166,1.3095314502716064,europe-west1,1000
