Model Name, File Name, File Size (bytes), Inference Time (ms), E2E Delay (ms), Processing Time (s)
yolov5n.pt,videos/10.jpg,9192,514.8,13987.477279000,13.673881530761719
yolov5n.pt,videos/12.jpg,11641,402.0,13066.207598000,12.7200608253479
yolov5n.pt,videos/13.jpg,9674,408.3,12895.504177000,12.640874862670898
yolov5n.pt,videos/17.jpg,14140,584.0,14036.634661000,13.652016639709473
yolov5n.pt,videos/18.jpg,8091,498.7,13324.960423000,12.973698377609253
yolov5n.pt,videos/19.jpg,9571,694.8,13603.511996000,13.29208517074585
yolov5n.pt,videos/1.jpg,11834,318.3,12714.539313000,12.360420942306519
yolov5n.pt,videos/29.jpg,12402,392.0,12831.339846000,12.532449960708618
yolov5n.pt,videos/2.jpg,12883,405.1,13053.134398000,12.714673280715942
yolov5n.pt,videos/30.jpg,18119,323.3,12961.081375000,12.58058500289917
yolov5n.pt,videos/3.jpg,10567,384.7,12577.407732000,12.292982816696167
yolov5n.pt,videos/4.jpg,12030,301.2,12946.616450000,12.507657289505005
yolov5n.pt,videos/5.jpg,14688,401.1,12850.654614000,12.568787097930908
yolov5n.pt,videos/6.jpg,13453,392.4,12768.449717000,12.438983917236328
yolov5n.pt,videos/7.jpg,15812,385.6,13064.003091000,12.742998838424683
yolov5n.pt,videos/cars2.jpg,223654,387.5,13355.559482000,12.980170965194702
yolov5n.pt,videos/cars.jpg,238211,392.8,14404.805347000,13.791263341903687
yolov5n.pt,videos/Electric-Vehicle.jpg,84546,384.3,12835.268828000,12.40031123161316
yolov5n.pt,videos/hd-bird.jpg,266489,371.3,12954.157400000,12.459468603134155
yolov5n.pt,videos/hd-car.jpg,282293,316.4,14735.327297000,14.309994459152222
yolov5n.pt,videos/hd-image.jpg,14667,309.4,14038.799066000,13.582736253738403
yolov5n.pt,videos/Pigeon_Flock.jpg,508967,401.0,13132.176437000,12.556733846664429
yolov5n.pt,videos/10.jpg,9192,399.0,13177.157972000,12.914242267608643
yolov5n.pt,videos/12.jpg,11641,483.5,13275.863702000,12.912013530731201
yolov5n.pt,videos/13.jpg,9674,404.6,13824.610050000,13.450759410858154
