Model Name, File Name, File Size (bytes), Inference Time (ms), E2E Delay (ms), Processing Time (s)
yolov5n.pt,videos/10.jpg,9192,200.3,6968.589072000,6.526591777801514
yolov5n.pt,videos/12.jpg,11641,242.8,6551.117274000,6.3173441886901855
yolov5n.pt,videos/13.jpg,9674,211.9,6442.665489000,6.141247510910034
yolov5n.pt,videos/17.jpg,14140,307.1,6758.970584000,6.503680467605591
yolov5n.pt,videos/18.jpg,8091,232.5,6610.954255000,6.266068458557129
yolov5n.pt,videos/19.jpg,9571,315.2,6749.526590000,6.413803339004517
yolov5n.pt,videos/1.jpg,11834,219.2,6559.954463000,6.18320369720459
yolov5n.pt,videos/29.jpg,12402,259.4,6491.174569000,6.245421886444092
yolov5n.pt,videos/2.jpg,12883,234.9,6604.144848000,6.325953006744385
yolov5n.pt,videos/30.jpg,18119,270.7,6588.857242000,6.230236768722534
yolov5n.pt,videos/3.jpg,10567,252.0,6311.108179000,6.145034551620483
yolov5n.pt,videos/4.jpg,12030,213.5,6581.706876000,6.186020612716675
yolov5n.pt,videos/5.jpg,14688,266.4,6625.001169000,6.315420627593994
yolov5n.pt,videos/6.jpg,13453,270.1,6678.447586000,6.253643751144409
yolov5n.pt,videos/7.jpg,15812,253.3,6493.673465000,6.263925552368164
yolov5n.pt,videos/cars2.jpg,223654,203.7,6674.273280000,6.251814603805542
yolov5n.pt,videos/cars.jpg,238211,215.2,6891.057075000,6.456671953201294
yolov5n.pt,videos/Electric-Vehicle.jpg,84546,204.7,6777.719530000,6.311376571655273
yolov5n.pt,videos/hd-bird.jpg,266489,170.4,6766.210233000,6.306709289550781
yolov5n.pt,videos/hd-car.jpg,282293,174.6,6856.557327000,6.347632169723511
yolov5n.pt,videos/hd-image.jpg,14667,217.5,6610.512739000,6.258185625076294
yolov5n.pt,videos/Pigeon_Flock.jpg,508967,274.1,6878.533848000,6.444092273712158
yolov5n.pt,videos/10.jpg,9192,217.6,6559.084911000,6.248101711273193
yolov5n.pt,videos/12.jpg,11641,228.1,6835.749328000,6.302383184432983
yolov5n.pt,videos/13.jpg,9674,271.3,6318.658901000,6.109088659286499
yolov5n.pt,videos/17.jpg,14140,329.5,6818.480038000,6.400522232055664
yolov5n.pt,videos/18.jpg,8091,279.0,6786.804027000,6.309018135070801
yolov5n.pt,videos/19.jpg,9571,330.4,6629.331204000,6.351946592330933
yolov5n.pt,videos/1.jpg,11834,288.1,7061.022314000,6.7443108558654785
yolov5n.pt,videos/29.jpg,12402,268.6,6653.783185000,6.31002402305603
yolov5n.pt,videos/2.jpg,12883,295.3,6848.369477000,6.475228786468506
yolov5n.pt,videos/30.jpg,18119,196.9,6524.663310000,6.179217576980591
yolov5n.pt,videos/3.jpg,10567,181.8,6376.058547000,6.108772039413452
yolov5n.pt,videos/4.jpg,12030,198.2,6567.005422000,6.231471300125122
yolov5n.pt,videos/5.jpg,14688,182.6,6522.702320000,6.218571901321411
yolov5n.pt,videos/6.jpg,13453,200.3,6541.413096000,6.197808027267456
yolov5n.pt,videos/7.jpg,15812,179.5,6335.363854000,6.050942659378052
yolov5n.pt,videos/cars2.jpg,223654,184.3,6835.247822000,6.29419207572937
yolov5n.pt,videos/cars.jpg,238211,184.7,6789.466130000,6.2381956577301025
yolov5n.pt,videos/Electric-Vehicle.jpg,84546,186.4,6827.496137000,6.473300218582153
yolov5n.pt,videos/hd-bird.jpg,266489,108.5,6842.317791000,6.394654035568237
yolov5n.pt,videos/hd-car.jpg,282293,127.3,6847.999751000,6.341446161270142
yolov5n.pt,videos/hd-image.jpg,14667,184.8,6425.551767000,6.122367858886719
yolov5n.pt,videos/Pigeon_Flock.jpg,508967,132.9,6877.238338000,6.257687568664551
yolov5n.pt,videos/10.jpg,9192,196.8,6621.752017000,6.327705383300781
yolov5n.pt,videos/12.jpg,11641,256.4,6543.973686000,6.132710218429565
yolov5n.pt,videos/13.jpg,9674,193.3,6558.818576000,6.235991477966309
yolov5n.pt,videos/17.jpg,14140,231.0,6557.419562000,6.215571165084839
yolov5n.pt,videos/18.jpg,8091,268.9,6775.078351000,6.2927563190460205
yolov5n.pt,videos/19.jpg,9571,268.1,6680.311995000,6.312849283218384
yolov5n.pt,videos/1.jpg,11834,190.0,6633.094457000,6.2245261669158936
yolov5n.pt,videos/29.jpg,12402,183.5,6551.707798000,6.102560758590698
yolov5n.pt,videos/2.jpg,12883,198.2,6711.765426000,6.345346212387085
yolov5n.pt,videos/30.jpg,18119,193.2,6627.200333000,6.149893760681152
