Model Name, File Name, File Size (bytes), Inference Time (ms), E2E Delay (ms), Processing Time (s)
yolov5n.pt,videos/30.jpg,18119,106.0,6176.522596000,5.861803293228149
yolov5n.pt,videos/3.jpg,10567,97.0,6195.573670000,5.8242268562316895
yolov5n.pt,videos/4.jpg,12030,94.5,6347.820934000,6.066345691680908
yolov5n.pt,videos/5.jpg,14688,91.3,6205.245081000,5.958097457885742
yolov5n.pt,videos/6.jpg,13453,107.5,6342.491593000,5.886671543121338
yolov5n.pt,videos/7.jpg,15812,96.3,6565.394341000,6.105653762817383
yolov5n.pt,videos/cars2.jpg,223654,106.7,6374.442036000,5.980743646621704
yolov5n.pt,videos/cars.jpg,238211,99.6,6458.398981000,6.006519317626953
yolov5n.pt,videos/Electric-Vehicle.jpg,84546,100.6,6303.784384000,5.983878135681152
yolov5n.pt,videos/hd-bird.jpg,266489,86.2,6538.104783000,5.9774816036224365
yolov5n.pt,videos/hd-car.jpg,282293,94.3,6550.593064000,6.043801546096802
yolov5n.pt,videos/hd-image.jpg,14667,98.3,6324.599607000,5.955237150192261
yolov5n.pt,videos/Pigeon_Flock.jpg,508967,114.9,6544.865848000,6.062813758850098
yolov5n.pt,videos/10.jpg,9192,103.3,6034.385411000,5.766439914703369
yolov5n.pt,videos/12.jpg,11641,115.6,6381.372598000,5.986034631729126
yolov5n.pt,videos/13.jpg,9674,98.6,6310.121594000,5.9200758934021
yolov5n.pt,videos/17.jpg,14140,135.8,6571.975644000,6.097618818283081
yolov5n.pt,videos/18.jpg,8091,115.2,6312.728685000,5.905745506286621
yolov5n.pt,videos/19.jpg,9571,132.9,6284.364892000,5.973322629928589
yolov5n.pt,videos/1.jpg,11834,113.5,6205.939687000,5.9129297733306885
yolov5n.pt,videos/29.jpg,12402,97.2,6466.491531000,5.95911717414856
yolov5n.pt,videos/2.jpg,12883,114.1,6513.478567000,6.087984085083008
yolov5n.pt,videos/30.jpg,18119,104.2,6194.945145000,5.881751298904419
yolov5n.pt,videos/3.jpg,10567,92.6,6247.500922000,5.900710821151733
yolov5n.pt,videos/4.jpg,12030,85.3,6405.822325000,5.90561056137085
yolov5n.pt,videos/5.jpg,14688,104.4,6328.635251000,5.959392547607422
yolov5n.pt,videos/6.jpg,13453,98.2,6229.878933000,5.9096293449401855
yolov5n.pt,videos/7.jpg,15812,88.7,6181.548851000,5.920130491256714
yolov5n.pt,videos/cars2.jpg,223654,92.3,6474.127563000,6.151147842407227
yolov5n.pt,videos/cars.jpg,238211,106.0,6758.828205000,6.223786354064941
yolov5n.pt,videos/Electric-Vehicle.jpg,84546,104.7,6354.188435000,5.937288999557495
yolov5n.pt,videos/hd-bird.jpg,266489,91.6,6547.193158000,6.145853281021118
yolov5n.pt,videos/hd-car.jpg,282293,81.9,6596.321956000,6.013899564743042
yolov5n.pt,videos/hd-image.jpg,14667,107.5,6133.230498000,5.83699631690979
yolov5n.pt,videos/Pigeon_Flock.jpg,508967,101.0,6717.812330000,5.965436697006226
yolov5n.pt,videos/10.jpg,9192,113.0,6449.665713000,6.003183603286743
yolov5n.pt,videos/12.jpg,11641,108.9,6396.434897000,5.8986780643463135
yolov5n.pt,videos/13.jpg,9674,93.5,6338.925026000,5.808149576187134
yolov5n.pt,videos/17.jpg,14140,133.2,6405.349130000,6.05228066444397
yolov5n.pt,videos/18.jpg,8091,109.8,6051.223947000,5.860139608383179
yolov5n.pt,videos/19.jpg,9571,153.5,6481.909524000,6.135481595993042
yolov5n.pt,videos/1.jpg,11834,116.0,6349.692330000,6.049955368041992
yolov5n.pt,videos/29.jpg,12402,90.2,6178.848194000,5.843172788619995
