Time,model,File Name,Propagation Delay (s),processing_delay (ms),E2E Delay (s),location,core,model_acc,ram
1716484764,yolov5m,6.jpg,0.197552919,2725.300789,2.963264227,london,half,64.1,1000
1716484768,yolov5m,6.jpg,0.368474245,2869.115829,3.264184713,london,half,64.1,1000
1716484770,yolov5m,6.jpg,0.205936909,2394.518852,2.630831003,london,half,64.1,1000
1716484774,yolov5m,6.jpg,0.393988609,2873.452187,3.292505741,london,half,64.1,1000
1716484776,yolov5m,6.jpg,0.167944431,2371.56868,2.565377235,london,half,64.1,1000
1716484780,yolov5m,6.jpg,0.153089285,3215.866804,3.38977623,london,half,64.1,1000
1716484783,yolov5m,6.jpg,0.198659658,3143.365383,3.367828131,london,half,64.1,1000
1716484785,yolov5m,6.jpg,0.168038607,2243.910074,2.438300848,london,half,64.1,1000
1716484788,yolov5m,6.jpg,0.193257332,2500.887632,2.722900867,london,half,64.1,1000
1716484792,yolov5m,6.jpg,0.144186735,3316.409111,3.49007535,london,half,64.1,1000
1716484795,yolov5m,6.jpg,0.197844267,3098.549843,3.323214054,london,half,64.1,1000
1716484800,yolov5m,6.jpg,0.140192986,4464.037895,4.634408712,london,half,64.1,1000
1716484803,yolov5m,6.jpg,0.099100351,3023.509026,3.156049252,london,half,64.1,1000
1716484807,yolov5m,6.jpg,0.12163496,3776.147604,3.928385735,london,half,64.1,1000
1716484810,yolov5m,6.jpg,0.192576647,3353.02639,3.57061553,london,half,64.1,1000
1716484814,yolov5m,6.jpg,0.183858871,3993.22319,4.201739788,london,half,64.1,1000
1716484818,yolov5m,6.jpg,0.280653238,3676.681995,3.981426477,london,half,64.1,1000
1716484822,yolov5m,6.jpg,0.158565283,2995.50581,3.178545237,london,half,64.1,1000
1716484825,yolov5m,6.jpg,0.183804512,2708.911896,2.916722536,london,half,64.1,1000
1716484828,yolov5m,6.jpg,0.159184933,3129.055262,3.318836927,london,half,64.1,1000
1716484831,yolov5m,6.jpg,0.177664757,2886.38401,3.092278242,london,half,64.1,1000
1716484834,yolov5m,6.jpg,0.130328178,3182.422876,3.334688902,london,half,64.1,1000
1716484838,yolov5m,6.jpg,0.330316067,2944.999456,3.305133104,london,half,64.1,1000
1716484841,yolov5m,6.jpg,0.203843355,3045.816898,3.269869804,london,half,64.1,1000
1716484844,yolov5m,6.jpg,0.156338453,2778.180122,2.962030172,london,half,64.1,1000
1716484847,yolov5m,6.jpg,0.182654858,2803.407431,3.008143663,london,half,64.1,1000
1716484850,yolov5m,6.jpg,0.151654959,3122.137308,3.309405565,london,half,64.1,1000
1716484853,yolov5m,6.jpg,0.169529438,2385.895729,2.586082935,london,half,64.1,1000
