Model Name, File Name, File Size (bytes), Inference Time (ms), E2E Delay (ms)
yolov5n.pt,videos/10.jpg,9192,303.9,6937.791227000
yolov5n.pt,videos/12.jpg,11641,305.5,6698.927824000
yolov5n.pt,videos/13.jpg,9674,222.5,6223.909336000
yolov5n.pt,videos/17.jpg,14140,394.1,7326.937607000
yolov5n.pt,videos/18.jpg,8091,305.0,7350.797115000
yolov5n.pt,videos/19.jpg,9571,330.5,7047.902730000
yolov5n.pt,videos/1.jpg,11834,292.9,6908.843346000
yolov5n.pt,videos/29.jpg,12402,275.3,6767.952343000
yolov5n.pt,videos/2.jpg,12883,302.8,6940.986912000
yolov5n.pt,videos/30.jpg,18119,336.9,7287.663861000
yolov5n.pt,videos/3.jpg,10567,219.3,6954.176415000
yolov5n.pt,videos/4.jpg,12030,187.0,5924.592035000
yolov5n.pt,videos/5.jpg,14688,196.2,6062.903208000
yolov5n.pt,videos/6.jpg,13453,203.2,6028.783178000
yolov5n.pt,videos/7.jpg,15812,205.7,5916.716316000
yolov5n.pt,videos/cars2.jpg,223654,195.5,6002.952748000
yolov5n.pt,videos/cars.jpg,238211,186.1,6429.084935000
yolov5n.pt,videos/Electric-Vehicle.jpg,84546,193.8,6066.693336000
yolov5n.pt,videos/Pigeon_Flock.jpg,508967,180.2,6074.755262000
yolov5s.pt,videos/10.jpg,9192,396.2,6351.554545000
yolov5s.pt,videos/12.jpg,11641,411.0,6370.842150000
yolov5s.pt,videos/13.jpg,9674,406.9,6357.015737000
yolov5s.pt,videos/17.jpg,14140,531.8,6753.919941000
yolov5s.pt,videos/18.jpg,8091,413.9,6395.283093000
yolov5s.pt,videos/19.jpg,9571,576.8,6768.357712000
yolov5s.pt,videos/1.jpg,11834,411.2,6530.312196000
yolov5s.pt,videos/29.jpg,12402,405.5,9761.327980000
yolov5s.pt,videos/2.jpg,12883,426.0,6946.469273000
yolov5s.pt,videos/30.jpg,18119,416.5,6749.374532000
yolov5s.pt,videos/3.jpg,10567,379.8,6557.525872000
yolov5s.pt,videos/4.jpg,12030,370.9,6613.178612000
yolov5s.pt,videos/5.jpg,14688,382.0,6671.296240000
yolov5s.pt,videos/6.jpg,13453,418.9,6642.007947000
yolov5s.pt,videos/7.jpg,15812,378.8,6391.388240000
yolov5s.pt,videos/cars2.jpg,223654,390.6,6596.785367000
yolov5s.pt,videos/cars.jpg,238211,384.2,6962.004918000
yolov5s.pt,videos/Electric-Vehicle.jpg,84546,323.4,6768.856308000
yolov5s.pt,videos/Pigeon_Flock.jpg,508967,390.8,7142.140687000
yolov5m.pt,videos/10.jpg,9192,985.6,8140.124682000
yolov5m.pt,videos/12.jpg,11641,965.3,8056.415859000
yolov5m.pt,videos/13.jpg,9674,890.9,7930.817961000
yolov5m.pt,videos/17.jpg,14140,1206.7,8080.215401000
yolov5m.pt,videos/18.jpg,8091,977.4,8072.304345000
yolov5m.pt,videos/19.jpg,9571,1210.7,8599.713984000
yolov5m.pt,videos/1.jpg,11834,962.1,7876.400827000
yolov5m.pt,videos/29.jpg,12402,788.0,7772.546067000
yolov5m.pt,videos/2.jpg,12883,994.0,7921.311974000
yolov5m.pt,videos/30.jpg,18119,888.7,8057.083840000
yolov5m.pt,videos/3.jpg,10567,707.2,7740.618654000
yolov5m.pt,videos/4.jpg,12030,720.3,7865.124192000
yolov5m.pt,videos/5.jpg,14688,781.4,7877.209069000
yolov5m.pt,videos/6.jpg,13453,906.5,8024.051435000
yolov5m.pt,videos/7.jpg,15812,781.2,7857.709241000
yolov5m.pt,videos/cars2.jpg,223654,740.8,8181.261215000
yolov5m.pt,videos/cars.jpg,238211,867.5,8501.951484000
yolov5m.pt,videos/Electric-Vehicle.jpg,84546,789.9,8080.159768000
yolov5m.pt,videos/Pigeon_Flock.jpg,508967,881.9,8258.070315000
yolov5l.pt,videos/10.jpg,9192,1686.1,10173.969119000
yolov5l.pt,videos/12.jpg,11641,1711.9,10100.748271000
yolov5l.pt,videos/13.jpg,9674,1602.9,9897.208872000
yolov5l.pt,videos/17.jpg,14140,2321.0,10664.235103000
yolov5l.pt,videos/18.jpg,8091,1704.7,10135.557146000
yolov5l.pt,videos/19.jpg,9571,2294.1,10384.541882000
yolov5l.pt,videos/1.jpg,11834,2699.8,11655.154923000
yolov5l.pt,videos/29.jpg,12402,2186.8,11222.588321000
yolov5l.pt,videos/2.jpg,12883,2319.8,11629.878986000
yolov5l.pt,videos/30.jpg,18119,2611.1,12106.747052000
yolov5l.pt,videos/3.jpg,10567,2202.2,11059.140965000
yolov5l.pt,videos/4.jpg,12030,2022.5,11301.472266000
yolov5l.pt,videos/5.jpg,14688,2113.2,11047.550741000
yolov5l.pt,videos/6.jpg,13453,2482.6,11277.855937000
yolov5l.pt,videos/7.jpg,15812,2078.2,10819.507644000
yolov5l.pt,videos/cars2.jpg,223654,2309.2,11680.703670000
yolov5l.pt,videos/cars.jpg,238211,2495.8,11519.958351000
yolov5l.pt,videos/Electric-Vehicle.jpg,84546,2203.6,11227.664585000
yolov5l.pt,videos/Pigeon_Flock.jpg,508967,2458.8,11865.891238000
