Model Name, File Name, File Size (bytes), Inference Time (ms), E2E Delay (ms)
yolov5n.pt,videos/10.jpg,9192,606.8,15855.587786000
yolov5n.pt,videos/12.jpg,11641,813.4,14063.077687000
yolov5n.pt,videos/13.jpg,9674,502.2,13436.591879000
yolov5n.pt,videos/17.jpg,14140,698.5,13425.119943000
yolov5n.pt,videos/18.jpg,8091,606.8,14478.446447000
yolov5n.pt,videos/19.jpg,9571,718.8,13780.670331000
yolov5n.pt,videos/1.jpg,11834,411.3,14093.511024000
yolov5n.pt,videos/29.jpg,12402,592.1,12599.796218000
yolov5n.pt,videos/2.jpg,12883,604.0,14048.836896000
yolov5n.pt,videos/30.jpg,18119,598.1,14114.290759000
yolov5n.pt,videos/3.jpg,10567,315.0,12696.209889000
yolov5n.pt,videos/4.jpg,12030,314.5,11838.310144000
yolov5n.pt,videos/5.jpg,14688,391.0,11870.928477000
yolov5n.pt,videos/6.jpg,13453,409.8,11778.812240000
yolov5n.pt,videos/7.jpg,15812,392.8,11860.712492000
yolov5n.pt,videos/cars2.jpg,223654,316.2,12179.385213000
yolov5n.pt,videos/cars.jpg,238211,390.7,12827.603154000
yolov5n.pt,videos/Electric-Vehicle.jpg,84546,318.2,12035.301486000
yolov5n.pt,videos/Pigeon_Flock.jpg,508967,407.1,12163.752523000
yolov5s.pt,videos/10.jpg,9192,885.6,12729.578902000
yolov5s.pt,videos/12.jpg,11641,895.8,12927.188242000
yolov5s.pt,videos/13.jpg,9674,814.3,12967.807439000
yolov5s.pt,videos/17.jpg,14140,1194.1,13272.996884000
yolov5s.pt,videos/18.jpg,8091,1004.7,14837.858357000
yolov5s.pt,videos/19.jpg,9571,1302.1,13502.668189000
yolov5s.pt,videos/1.jpg,11834,816.2,13416.880598000
yolov5s.pt,videos/29.jpg,12402,714.8,13121.578306000
yolov5s.pt,videos/2.jpg,12883,901.4,13292.133053000
yolov5s.pt,videos/30.jpg,18119,810.9,13149.792825000
yolov5s.pt,videos/3.jpg,10567,703.6,12992.309716000
yolov5s.pt,videos/4.jpg,12030,715.2,13140.180082000
yolov5s.pt,videos/5.jpg,14688,706.7,12916.347877000
yolov5s.pt,videos/6.jpg,13453,898.1,13216.627630000
yolov5s.pt,videos/7.jpg,15812,810.0,13074.673870000
yolov5s.pt,videos/cars2.jpg,223654,710.1,13195.658062000
yolov5s.pt,videos/cars.jpg,238211,790.3,13447.560907000
yolov5s.pt,videos/Electric-Vehicle.jpg,84546,706.4,12977.344820000
yolov5s.pt,videos/Pigeon_Flock.jpg,508967,811.5,13811.941136000
yolov5m.pt,videos/10.jpg,9192,2014.3,16295.430337000
yolov5m.pt,videos/12.jpg,11641,2014.6,16196.935178000
yolov5m.pt,videos/13.jpg,9674,1901.3,15510.507004000
yolov5m.pt,videos/17.jpg,14140,2683.0,16604.535798000
yolov5m.pt,videos/18.jpg,8091,1985.9,16168.893660000
yolov5m.pt,videos/19.jpg,9571,2601.7,16664.920641000
yolov5m.pt,videos/1.jpg,11834,1805.0,15935.808030000
yolov5m.pt,videos/29.jpg,12402,1597.1,15690.980895000
yolov5m.pt,videos/2.jpg,12883,1915.9,15736.091683000
yolov5m.pt,videos/30.jpg,18119,1892.4,15894.520059000
yolov5m.pt,videos/3.jpg,10567,1498.2,15422.755580000
yolov5m.pt,videos/4.jpg,12030,1493.4,15392.932728000
yolov5m.pt,videos/5.jpg,14688,1690.7,15553.469045000
yolov5m.pt,videos/6.jpg,13453,1885.5,16212.248254000
yolov5m.pt,videos/7.jpg,15812,1707.1,15727.433050000
yolov5m.pt,videos/cars2.jpg,223654,1600.2,16551.346272000
yolov5m.pt,videos/cars.jpg,238211,1800.9,16402.834503000
yolov5m.pt,videos/Electric-Vehicle.jpg,84546,1597.6,15425.451679000
yolov5m.pt,videos/Pigeon_Flock.jpg,508967,1884.9,15938.166509000
yolov5l.pt,videos/10.jpg,9192,3510.7,20256.383375000
yolov5l.pt,videos/12.jpg,11641,3686.2,20218.534037000
yolov5l.pt,videos/13.jpg,9674,3402.5,19689.508736000
yolov5l.pt,videos/17.jpg,14140,4801.7,21058.018205000
yolov5l.pt,videos/18.jpg,8091,3691.7,19983.024827000
yolov5l.pt,videos/19.jpg,9571,5602.5,23758.786469000
yolov5l.pt,videos/1.jpg,11834,3406.6,20683.647261000
yolov5l.pt,videos/29.jpg,12402,2915.9,19307.359558000
yolov5l.pt,videos/2.jpg,12883,3604.1,20269.223994000
yolov5l.pt,videos/30.jpg,18119,3388.2,19667.865396000
yolov5l.pt,videos/3.jpg,10567,2606.7,19271.657844000
yolov5l.pt,videos/4.jpg,12030,2783.2,19102.144385000
yolov5l.pt,videos/5.jpg,14688,2993.5,19588.656031000
yolov5l.pt,videos/6.jpg,13453,3499.0,20041.184009000
yolov5l.pt,videos/7.jpg,15812,3006.2,19274.173343000
yolov5l.pt,videos/cars2.jpg,223654,2986.5,19494.905809000
yolov5l.pt,videos/cars.jpg,238211,3401.9,20370.063820000
yolov5l.pt,videos/Electric-Vehicle.jpg,84546,2904.0,19586.424519000
yolov5l.pt,videos/Pigeon_Flock.jpg,508967,3567.9,20168.920323000
