Model Name, File Name, File Size (bytes), Inference Time (ms), E2E Delay (ms)
yolov5n.pt,videos/10.jpg,9192,588.1,16794.177456000
yolov5n.pt,videos/12.jpg,11641,413.8,14827.572379000
yolov5n.pt,videos/13.jpg,9674,483.4,14132.221462000
yolov5n.pt,videos/17.jpg,14140,592.4,15033.321325000
yolov5n.pt,videos/18.jpg,8091,495.1,14161.161950000
yolov5n.pt,videos/19.jpg,9571,586.4,14478.099172000
yolov5n.pt,videos/1.jpg,11834,405.2,13844.493244000
yolov5n.pt,videos/29.jpg,12402,320.3,13884.328321000
yolov5n.pt,videos/2.jpg,12883,491.3,14170.967662000
yolov5n.pt,videos/30.jpg,18119,407.6,14048.392721000
yolov5n.pt,videos/3.jpg,10567,312.4,13424.972839000
yolov5n.pt,videos/4.jpg,12030,609.4,14998.747802000
yolov5n.pt,videos/5.jpg,14688,505.7,14509.280030000
yolov5n.pt,videos/6.jpg,13453,591.9,14415.359358000
yolov5n.pt,videos/7.jpg,15812,583.3,14569.409927000
yolov5n.pt,videos/cars2.jpg,223654,499.7,14180.948209000
yolov5n.pt,videos/cars.jpg,238211,576.9,14779.553175000
yolov5n.pt,videos/Electric-Vehicle.jpg,84546,581.2,14744.115334000
yolov5n.pt,videos/Pigeon_Flock.jpg,508967,479.3,14028.616092000
yolov5s.pt,videos/10.jpg,9192,1103.8,15722.571928000
yolov5s.pt,videos/12.jpg,11641,1302.0,15899.686484000
yolov5s.pt,videos/13.jpg,9674,1281.9,15919.252317000
yolov5s.pt,videos/17.jpg,14140,1705.4,16849.331472000
yolov5s.pt,videos/18.jpg,8091,1276.4,16336.268781000
yolov5s.pt,videos/19.jpg,9571,1793.1,16840.742729000
yolov5s.pt,videos/1.jpg,11834,1191.6,16217.059953000
yolov5s.pt,videos/29.jpg,12402,1196.2,16659.491356000
yolov5s.pt,videos/2.jpg,12883,1298.9,17601.034260000
yolov5s.pt,videos/30.jpg,18119,1295.8,16788.752786000
yolov5s.pt,videos/3.jpg,10567,1006.8,16278.237628000
yolov5s.pt,videos/4.jpg,12030,1014.6,17388.205021000
yolov5s.pt,videos/5.jpg,14688,1193.0,17060.145657000
yolov5s.pt,videos/6.jpg,13453,1311.0,17070.749474000
yolov5s.pt,videos/7.jpg,15812,1185.8,16890.719000000
yolov5s.pt,videos/cars2.jpg,223654,1083.1,17143.396267000
yolov5s.pt,videos/cars.jpg,238211,1291.6,17104.840365000
yolov5s.pt,videos/Electric-Vehicle.jpg,84546,1100.2,16136.966602000
yolov5s.pt,videos/Pigeon_Flock.jpg,508967,1291.6,16693.486940000
yolov5m.pt,videos/10.jpg,9192,2697.2,20399.714700000
yolov5m.pt,videos/12.jpg,11641,2873.5,20610.105548000
yolov5m.pt,videos/13.jpg,9674,2877.7,20993.287493000
yolov5m.pt,videos/17.jpg,14140,3886.0,21645.363892000
yolov5m.pt,videos/18.jpg,8091,2697.7,20343.929439000
yolov5m.pt,videos/19.jpg,9571,3685.7,21689.402521000
yolov5m.pt,videos/1.jpg,11834,2894.7,20619.857867000
yolov5m.pt,videos/29.jpg,12402,2416.1,19499.599716000
yolov5m.pt,videos/2.jpg,12883,2895.5,21366.271097000
yolov5m.pt,videos/30.jpg,18119,2796.9,19902.913111000
yolov5m.pt,videos/3.jpg,10567,2187.3,19451.064121000
yolov5m.pt,videos/4.jpg,12030,1899.6,18947.944897000
yolov5m.pt,videos/5.jpg,14688,2383.2,19699.555981000
yolov5m.pt,videos/6.jpg,13453,1887.9,18968.016514000
yolov5m.pt,videos/7.jpg,15812,1605.7,16977.391826000
yolov5m.pt,videos/cars2.jpg,223654,1678.3,17004.304182000
yolov5m.pt,videos/cars.jpg,238211,1807.0,17274.863639000
yolov5m.pt,videos/Electric-Vehicle.jpg,84546,1518.5,16974.049172000
yolov5m.pt,videos/Pigeon_Flock.jpg,508967,2281.0,19038.552091000
yolov5l.pt,videos/10.jpg,9192,3308.9,21221.805150000
yolov5l.pt,videos/12.jpg,11641,3595.6,22005.095895000
yolov5l.pt,videos/13.jpg,9674,3396.1,21900.950777000
yolov5l.pt,videos/17.jpg,14140,4583.3,22153.515058000
yolov5l.pt,videos/18.jpg,8091,3706.5,21272.938213000
yolov5l.pt,videos/19.jpg,9571,4586.3,22038.172915000
yolov5l.pt,videos/1.jpg,11834,3378.6,21155.015944000
yolov5l.pt,videos/29.jpg,12402,2982.1,20979.936506000
yolov5l.pt,videos/2.jpg,12883,3708.0,22233.464621000
yolov5l.pt,videos/30.jpg,18119,3396.3,22293.400531000
yolov5l.pt,videos/3.jpg,10567,4085.2,25661.038414000
yolov5l.pt,videos/4.jpg,12030,4384.3,24704.711263000
yolov5l.pt,videos/5.jpg,14688,4484.6,24741.452863000
yolov5l.pt,videos/6.jpg,13453,4976.9,25375.724735000
yolov5l.pt,videos/7.jpg,15812,4320.3,24668.218570000
yolov5l.pt,videos/cars2.jpg,223654,4369.1,26945.927634000
yolov5l.pt,videos/cars.jpg,238211,5064.8,25757.392468000
yolov5l.pt,videos/Electric-Vehicle.jpg,84546,4377.7,24385.618485000
yolov5l.pt,videos/Pigeon_Flock.jpg,508967,5108.2,25597.787141000
