Model Name, File Name, File Size (bytes), Inference Time (ms), E2E Delay (ms)
yolov5n.pt,videos/10.jpg,9192,120.5,7589.591592000
yolov5n.pt,videos/12.jpg,11641,152.8,7630.011000000
yolov5n.pt,videos/13.jpg,9674,114.6,7371.762889000
yolov5n.pt,videos/17.jpg,14140,172.6,7332.159385000
yolov5n.pt,videos/18.jpg,8091,131.3,7233.317333000
yolov5n.pt,videos/19.jpg,9571,140.6,7087.287912000
yolov5n.pt,videos/1.jpg,11834,131.4,6828.826946000
yolov5n.pt,videos/29.jpg,12402,133.3,6982.988725000
yolov5n.pt,videos/2.jpg,12883,125.3,6926.863418000
yolov5n.pt,videos/30.jpg,18119,109.3,7310.207331000
yolov5n.pt,videos/3.jpg,10567,106.6,6823.782406000
yolov5n.pt,videos/4.jpg,12030,92.6,6920.694606000
yolov5n.pt,videos/5.jpg,14688,97.9,6955.571461000
yolov5n.pt,videos/6.jpg,13453,115.5,7002.721930000
yolov5n.pt,videos/7.jpg,15812,114.4,6889.483426000
yolov5n.pt,videos/cars2.jpg,223654,107.4,6772.895390000
yolov5n.pt,videos/cars.jpg,238211,139.4,7102.219678000
yolov5n.pt,videos/Electric-Vehicle.jpg,84546,114.3,6989.112650000
yolov5n.pt,videos/Pigeon_Flock.jpg,508967,133.1,7143.122505000
yolov5s.pt,videos/10.jpg,9192,377.5,8432.379246000
yolov5s.pt,videos/12.jpg,11641,273.5,8357.789647000
yolov5s.pt,videos/13.jpg,9674,242.1,7222.826748000
yolov5s.pt,videos/17.jpg,14140,327.8,6969.817000000
yolov5s.pt,videos/18.jpg,8091,232.9,7014.720429000
yolov5s.pt,videos/19.jpg,9571,403.0,7519.452500000
yolov5s.pt,videos/1.jpg,11834,244.7,7126.456223000
yolov5s.pt,videos/29.jpg,12402,206.6,7298.647012000
yolov5s.pt,videos/2.jpg,12883,229.1,7209.618459000
yolov5s.pt,videos/30.jpg,18119,250.0,7076.613374000
yolov5s.pt,videos/3.jpg,10567,198.5,7190.067835000
yolov5s.pt,videos/4.jpg,12030,197.3,7136.619200000
yolov5s.pt,videos/5.jpg,14688,200.0,7064.731723000
yolov5s.pt,videos/6.jpg,13453,210.4,6641.343498000
yolov5s.pt,videos/7.jpg,15812,174.2,6732.584268000
yolov5s.pt,videos/cars2.jpg,223654,185.3,6888.992025000
yolov5s.pt,videos/cars.jpg,238211,244.3,7078.319204000
yolov5s.pt,videos/Electric-Vehicle.jpg,84546,176.5,6837.593477000
yolov5s.pt,videos/Pigeon_Flock.jpg,508967,231.4,6887.177664000
yolov5m.pt,videos/10.jpg,9192,446.7,7732.848389000
yolov5m.pt,videos/12.jpg,11641,439.8,7694.252558000
yolov5m.pt,videos/13.jpg,9674,422.2,7358.574060000
yolov5m.pt,videos/17.jpg,14140,596.0,7664.375599000
yolov5m.pt,videos/18.jpg,8091,483.8,7660.506171000
yolov5m.pt,videos/19.jpg,9571,664.3,8186.881954000
yolov5m.pt,videos/1.jpg,11834,443.4,7619.080718000
yolov5m.pt,videos/29.jpg,12402,453.1,7762.051955000
yolov5m.pt,videos/2.jpg,12883,463.2,7570.968259000
yolov5m.pt,videos/30.jpg,18119,437.2,7472.065476000
yolov5m.pt,videos/3.jpg,10567,345.5,7237.647687000
yolov5m.pt,videos/4.jpg,12030,359.2,7378.691747000
yolov5m.pt,videos/5.jpg,14688,402.4,7543.585419000
yolov5m.pt,videos/6.jpg,13453,438.6,7589.571798000
yolov5m.pt,videos/7.jpg,15812,379.0,7532.548122000
yolov5m.pt,videos/cars2.jpg,223654,375.7,7518.603809000
yolov5m.pt,videos/cars.jpg,238211,444.1,7591.602140000
yolov5m.pt,videos/Electric-Vehicle.jpg,84546,385.5,7725.810281000
yolov5m.pt,videos/Pigeon_Flock.jpg,508967,445.0,7575.277177000
yolov5l.pt,videos/10.jpg,9192,961.9,8637.663684000
yolov5l.pt,videos/12.jpg,11641,873.8,8654.215775000
yolov5l.pt,videos/13.jpg,9674,785.2,8365.082385000
yolov5l.pt,videos/17.jpg,14140,1115.9,8843.893402000
yolov5l.pt,videos/18.jpg,8091,832.4,8764.927570000
yolov5l.pt,videos/19.jpg,9571,1159.3,8970.479913000
yolov5l.pt,videos/1.jpg,11834,787.2,8616.615907000
yolov5l.pt,videos/29.jpg,12402,792.6,8449.563438000
yolov5l.pt,videos/2.jpg,12883,863.6,8672.013321000
yolov5l.pt,videos/30.jpg,18119,784.7,8481.686592000
yolov5l.pt,videos/3.jpg,10567,619.3,8233.050244000
yolov5l.pt,videos/4.jpg,12030,624.1,8446.903531000
yolov5l.pt,videos/5.jpg,14688,728.4,8614.324988000
yolov5l.pt,videos/6.jpg,13453,787.8,8651.916349000
yolov5l.pt,videos/7.jpg,15812,662.4,8284.249846000
yolov5l.pt,videos/cars2.jpg,223654,729.6,8620.290615000
yolov5l.pt,videos/cars.jpg,238211,774.9,8750.156842000
yolov5l.pt,videos/Electric-Vehicle.jpg,84546,664.9,8583.655046000
yolov5l.pt,videos/Pigeon_Flock.jpg,508967,810.9,8872.096261000
