time,cid,model_name,file_name,propagation_delay (s),processing_delay (ms),e2e_delay (s),location,core
1719751746.8369343,0,yolov5n,6.jpg,0.225844144821167,597.1939563751221,0.8492505550384521,europe-west1,500
1719751747.5120149,1,yolov5s,6.jpg,0.20372295379638672,452.1603584289551,0.6735312938690186,europe-west1,1000
1719751748.2519758,2,yolov5s,6.jpg,0.18000578880310059,405.2927494049072,0.7390782833099365,europe-west1,1000
1719751748.9531395,3,yolov5m,6.jpg,0.1927804946899414,487.92314529418945,0.7004411220550537,europe-west1,2000
1719751749.9995406,0,yolov5n,6.jpg,0.25606632232666016,766.9262886047363,1.0455939769744873,europe-west1,500
1719751750.9010687,1,yolov5s,6.jpg,0.2664024829864502,619.2464828491211,0.9007656574249268,europe-west1,1000
1719751751.8358319,2,yolov5s,6.jpg,0.21004366874694824,581.9411277770996,0.9339864253997803,europe-west1,1000
1719751752.7587266,3,yolov5m,6.jpg,0.26121997833251953,640.4578685760498,0.9220638275146484,europe-west1,2000
1719751753.3158681,0,yolov5n,6.jpg,0.19459748268127441,340.2268886566162,0.5559780597686768,europe-west1,500
1719751754.114402,1,yolov5s,6.jpg,0.25570106506347656,396.3274955749512,0.7978134155273438,europe-west1,1000
1719751768.8199098,2,yolov5s,6.jpg,0.2770819664001465,393.47195625305176,0.689119815826416,europe-west1,1000
1719751769.466665,3,yolov5m,6.jpg,0.19620680809020996,424.85833168029785,0.6459813117980957,europe-west1,2000
1719751770.5295427,0,yolov5n,6.jpg,0.17651104927062988,730.5450439453125,1.0620741844177246,europe-west1,500
1719751771.2537441,1,yolov5s,6.jpg,0.1668844223022461,542.0608520507812,0.7233860492706299,europe-west1,1000
1719751772.0912533,2,yolov5s,6.jpg,0.13689613342285156,542.0610904693604,0.8362390995025635,europe-west1,1000
1719751772.9367867,3,yolov5m,6.jpg,0.19918417930603027,627.0871162414551,0.8441512584686279,europe-west1,2000
1719751773.6683292,0,yolov5n,6.jpg,0.34436464309692383,364.31121826171875,0.7306263446807861,europe-west1,500
1719751774.353908,1,yolov5s,6.jpg,0.2292187213897705,429.73875999450684,0.6847498416900635,europe-west1,1000
1719751775.1027403,2,yolov5s,6.jpg,0.15929794311523438,428.577184677124,0.7470188140869141,europe-west1,1000
1719751775.696302,3,yolov5m,6.jpg,0.14386415481567383,427.9935359954834,0.5927538871765137,europe-west1,2000
1719751776.8625898,0,yolov5n,6.jpg,0.22407054901123047,785.9978675842285,1.1653916835784912,europe-west1,500
1719751777.792914,1,yolov5s,6.jpg,0.3073160648345947,593.7042236328125,0.9293673038482666,europe-west1,1000
1719751778.5473356,2,yolov5s,6.jpg,0.18079829216003418,553.0335903167725,0.753028154373169,europe-west1,1000
1719751779.3698475,3,yolov5m,6.jpg,0.15495991706848145,642.8520679473877,0.8217368125915527,europe-west1,2000
1719751780.3839374,0,yolov5n,6.jpg,0.4294600486755371,420.7158088684082,1.012706995010376,europe-west1,500
1719751780.9975624,1,yolov5s,6.jpg,0.18600106239318848,407.0417881011963,0.6128253936767578,europe-west1,1000
1719751781.762836,2,yolov5s,6.jpg,0.19253849983215332,415.24219512939453,0.764430046081543,europe-west1,1000
1719751782.435461,3,yolov5m,6.jpg,0.20653200149536133,450.4868984222412,0.6717548370361328,europe-west1,2000
1719751783.4808378,0,yolov5n,6.jpg,0.333266019821167,687.9987716674805,1.0446255207061768,europe-west1,500
1719751784.4346452,1,yolov5s,6.jpg,0.2290658950805664,567.3646926879883,0.9528727531433105,europe-west1,1000
1719751785.3324387,2,yolov5s,6.jpg,0.3348996639251709,542.0107841491699,0.8970727920532227,europe-west1,1000
1719751786.1144466,3,yolov5m,6.jpg,0.11631202697753906,629.9278736114502,0.7811203002929688,europe-west1,2000
1719751786.8501105,0,yolov5n,6.jpg,0.20325303077697754,372.21288681030273,0.7347805500030518,europe-west1,500
1719751787.5578282,1,yolov5s,6.jpg,0.1380767822265625,544.0969467163086,0.7069761753082275,europe-west1,1000
1719751788.3702688,2,yolov5s,6.jpg,0.23436832427978516,559.2455863952637,0.8108012676239014,europe-west1,1000
1719751789.0295994,3,yolov5m,6.jpg,0.11916589736938477,515.8367156982422,0.6579244136810303,europe-west1,2000
1719751790.168914,0,yolov5n,6.jpg,0.3036000728607178,682.16872215271,1.1374502182006836,europe-west1,500
1719751790.8436742,1,yolov5s,6.jpg,0.24692034721374512,408.7533950805664,0.673966646194458,europe-west1,1000
1719751791.6824565,2,yolov5s,6.jpg,0.3571183681488037,454.71930503845215,0.8376815319061279,europe-west1,1000
1719751792.616135,3,yolov5m,6.jpg,0.3189389705657959,455.7528495788574,0.9329237937927246,europe-west1,2000
1719751793.2984798,0,yolov5n,6.jpg,0.2872195243835449,367.63787269592285,0.6815841197967529,europe-west1,500
1719751793.9110506,1,yolov5s,6.jpg,0.18307232856750488,403.9900302886963,0.6118521690368652,europe-west1,1000
1719751794.6811001,2,yolov5s,6.jpg,0.24301958084106445,376.0871887207031,0.7691664695739746,europe-west1,1000
1719751795.5514379,3,yolov5m,6.jpg,0.2383122444152832,614.0592098236084,0.8695578575134277,europe-west1,2000
1719751796.0746796,0,yolov5n,6.jpg,0.16032958030700684,336.01856231689453,0.5224153995513916,europe-west1,500
1719751797.1220946,1,yolov5s,6.jpg,0.30768632888793945,585.6447219848633,1.0455882549285889,europe-west1,1000
1719751798.0048392,2,yolov5s,6.jpg,0.32307982444763184,535.5896949768066,0.8812141418457031,europe-west1,1000
1719751798.6476355,3,yolov5m,6.jpg,0.19756317138671875,420.29666900634766,0.6411218643188477,europe-west1,2000
1719751799.7891815,0,yolov5n,6.jpg,0.32724761962890625,657.151460647583,1.140812873840332,europe-west1,500
1719751800.3613455,1,yolov5s,6.jpg,0.2152729034423828,337.51964569091797,0.5710997581481934,europe-west1,1000
1719751801.075105,2,yolov5s,6.jpg,0.2594473361968994,437.58320808410645,0.7129912376403809,europe-west1,1000
1719751802.053324,3,yolov5m,6.jpg,0.170090913772583,647.1645832061768,0.9769926071166992,europe-west1,2000
