time,cid,model_name,file_name,propagation_delay (s),processing_delay (ms),e2e_delay (s),location,core
1719092104.0532153,0,yolov5n,6.jpg,0.6750679016113281,444.43821907043457,1.1817171573638916,europe-west1,500
1719092104.865459,1,yolov5s,6.jpg,0.3837268352508545,410.56203842163086,0.8101892471313477,europe-west1,1000
1719092106.067758,2,yolov5s,6.jpg,0.6679704189300537,482.9695224761963,1.2015082836151123,europe-west1,1000
1719092107.014296,3,yolov5m,6.jpg,0.4046440124511719,515.0096416473389,0.9455907344818115,europe-west1,2000
1719092108.7651725,0,yolov5n,6.jpg,0.8210234642028809,877.4855136871338,1.749652624130249,europe-west1,500
1719092110.0171764,1,yolov5s,6.jpg,0.6610007286071777,573.2676982879639,1.2511847019195557,europe-west1,1000
1719092111.3157392,2,yolov5s,6.jpg,0.5997414588928223,648.3323574066162,1.2976396083831787,europe-west1,1000
1719092112.6150782,3,yolov5m,6.jpg,0.6316463947296143,636.629581451416,1.2983441352844238,europe-west1,2000
1719092113.5568893,0,yolov5n,6.jpg,0.5936999320983887,285.2017879486084,0.9409053325653076,europe-west1,500
1719092114.6639729,1,yolov5s,6.jpg,0.6775445938110352,412.7175807952881,1.1062936782836914,europe-west1,1000
1719092116.0398438,2,yolov5s,6.jpg,0.852262020111084,460.2465629577637,1.3745265007019043,europe-west1,1000
1719092117.2858763,3,yolov5m,6.jpg,0.7007396221160889,485.71014404296875,1.2448947429656982,europe-west1,2000
1719092118.5389783,0,yolov5n,6.jpg,0.4354982376098633,798.9258766174316,1.251945972442627,europe-west1,500
1719092119.891174,1,yolov5s,6.jpg,0.748471736907959,550.49729347229,1.3510117530822754,europe-west1,1000
1719092121.2286613,2,yolov5s,6.jpg,0.6803455352783203,630.4900646209717,1.3357558250427246,europe-west1,1000
1719092122.4123085,3,yolov5m,6.jpg,0.4483942985534668,675.8666038513184,1.1820950508117676,europe-west1,2000
1719092123.2868574,0,yolov5n,6.jpg,0.5449693202972412,301.77974700927734,0.8737473487854004,europe-west1,500
1719092124.560397,1,yolov5s,6.jpg,0.8003292083740234,411.32497787475586,1.2723760604858398,europe-west1,1000
1719092125.808148,2,yolov5s,6.jpg,0.8431799411773682,385.1051330566406,1.246464729309082,europe-west1,1000
1719092126.988111,3,yolov5m,6.jpg,0.632143497467041,479.1224002838135,1.1781799793243408,europe-west1,2000
1719092128.3454905,0,yolov5n,6.jpg,0.687462568283081,646.6901302337646,1.355362892150879,europe-west1,500
1719092129.4474986,1,yolov5s,6.jpg,0.4421079158782959,599.9722480773926,1.1009376049041748,europe-west1,1000
1719092130.6554465,2,yolov5s,6.jpg,0.5912384986877441,557.8124523162842,1.207061529159546,europe-west1,1000
1719092131.7022223,3,yolov5m,6.jpg,0.34094762802124023,685.6145858764648,1.0460317134857178,europe-west1,2000
1719092132.8764591,0,yolov5n,6.jpg,0.8149566650390625,307.98864364624023,1.173398494720459,europe-west1,500
1719092133.8060806,1,yolov5s,6.jpg,0.42455339431762695,473.9665985107422,0.9286355972290039,europe-west1,1000
1719092134.9754934,2,yolov5s,6.jpg,0.6992969512939453,417.4501895904541,1.1670491695404053,europe-west1,1000
1719092136.2636318,3,yolov5m,6.jpg,0.7798500061035156,483.1705093383789,1.2864737510681152,europe-west1,2000
1719092137.431153,0,yolov5n,6.jpg,0.46343541145324707,645.1566219329834,1.1667463779449463,europe-west1,500
